mse,mae,rmse,rse,mape,wape,smape,mse_in_range,config,dataset,run,note
0.0008517552636361069,0.005487874674149701,0.02918484647271777,0.1529828428467185,1.2018171281972054,0.26128691893048445,83.12370989989168,0.00044318180880509317,context_gate,GEANT,4,
0.0018409544512571732,0.01627232258243897,0.0429063451165113,0.0918172330945793,0.3082664611853542,0.1472284332194826,28.87108822644788,0.0013165082782506943,full,ABILENE,0,
0.0018385854925493904,0.016275835965394756,0.04287873007155635,0.09169908175535665,0.3084104801017266,0.1472602215438143,28.691472220912022,0.0013123794924467802,no_stwaveformer,ABILENE,0,
0.0018486873848122419,0.016270329469670747,0.04299636478601699,0.09220291160077251,0.3083644124660848,0.14721039996893653,28.899017157049034,0.0013275882229208946,no_xgboost,ABILENE,0,
0.002634079530154229,0.017330146695046983,0.05132328448330474,0.13137418693041025,0.3074859606817946,0.15679939556564101,28.812140566817508,0.0011144332820549607,no_lightgbm_res,ABILENE,0,
0.0018409544512571732,0.01627232258243897,0.0429063451165113,0.0918172330945793,0.3082664611853542,0.1472284332194826,28.87108822644788,0.0013165082782506943,global_only,ABILENE,0,
0.0018409488960851597,0.016272307048218585,0.04290628038044267,0.09181695603149209,0.3082666530598064,0.1472282926692374,28.871081253854943,0.001316505135037005,perflow_only,ABILENE,0,
0.0018540276907861083,0.016457027941889045,0.04305842183343589,0.09246925828744042,0.2894760690289462,0.14889960711253356,28.40390664224342,0.0011858039069920778,static_average,ABILENE,0,
0.0018497027955204832,0.016274320873388117,0.04300817126454557,0.09225355500567678,0.3087396158859311,0.14724651332108263,27.982124717788516,0.0013284838059917092,best_single_val,ABILENE,0,lightgbm_res
0.0018443352526746075,0.01642333976458595,0.042945724498191985,0.09198584988549396,0.30609303668613264,0.1485948038161862,28.624466009012618,0.0012050461955368519,context_gate,ABILENE,0,
0.0018423845686546493,0.016284441258788758,0.042923007451186934,0.0918885599122238,0.30600876181179204,0.14733808036558813,28.71229485081433,0.00130896782502532,full,ABILENE,1,
0.0018420771576100386,0.016288045015305463,0.04291942634297479,0.09187322784818518,0.30624509878145817,0.14737068637023013,28.351989361367057,0.0013076742179691792,no_stwaveformer,ABILENE,1,
0.001861899724430574,0.016269680837962864,0.0431497360876121,0.09286187438262339,0.30625588080496713,0.14720453129041175,28.765928324565444,0.0013412757543846965,no_xgboost,ABILENE,1,
0.0026472591609401994,0.017346355106804608,0.051451522435591736,0.13203151836582389,0.3060735976493129,0.15694604574762716,28.81230287726008,0.0011191840749233961,no_lightgbm_res,ABILENE,1,
0.0018423845686546493,0.016284441258788758,0.042923007451186934,0.0918885599122238,0.30600876181179204,0.14733808036558813,28.71229485081433,0.00130896782502532,global_only,ABILENE,1,
0.0018423100038392403,0.01628423005090194,0.042922138854433155,0.09188484100704808,0.30600922597133046,0.14733616940259547,28.712215204185032,0.0013089155545458198,perflow_only,ABILENE,1,
0.0018777757085007788,0.016482263302054743,0.043333309457053694,0.09365368589593072,0.2870922653199447,0.14912793115909193,28.410906313015815,0.0012036776170134544,static_average,ABILENE,1,
0.001862670509415836,0.01627346296756705,0.04315866667792039,0.09290031712878109,0.30667003032510887,0.14723875117592816,27.80331852526282,0.0013419263996183872,best_single_val,ABILENE,1,lightgbm_res
0.0018731256169904325,0.01647859887567964,0.04327962126671665,0.09342176351684903,0.3048701801705658,0.1490947762267753,28.582363053070324,0.0012031958904117346,context_gate,ABILENE,1,
0.001858091646394325,0.016293751522216224,0.04310558718303609,0.09267194725625812,0.3090556635941822,0.14742231760279517,28.782398937511232,0.0013338607968762517,full,ABILENE,2,
0.0018562525546043309,0.016296456362305384,0.0430842494956606,0.0925802229230195,0.3092312515492509,0.14744679040724082,28.638145249097484,0.0013308542547747493,no_stwaveformer,ABILENE,2,
